baybayin,ambiguity_type,word_count,unique_word_count,words
ᜃᜓᜇᜓᜐ᜔,O/U,2,2,"kuros, kurus"
ᜎᜒᜀᜇ᜔,E/I,2,2,"lead, liad"
ᜎᜒᜑᜒᜀ,E/I,2,2,"lehia, lihia"
ᜎᜒᜆ᜔ᜐᜓᜈ᜔,E/I,2,2,"letson, litson"
ᜎᜓᜊ,O/U,2,2,"loba, luba"
ᜎᜓᜈ,O/U,2,2,"lona, luna"
ᜋᜇᜋᜌ᜔,D/R,2,2,"madamay, maramay"
ᜋᜇᜋ᜔ᜇᜋᜒᜈ᜔,D/R,2,2,"madamdamin, maramdamin"
ᜋᜇᜋ᜔ᜆᜈ᜔,D/R,2,2,"madamtan, maramtan"
ᜋᜇᜒᜏᜇ,D/R,2,2,"madiwara, mariwara"
ᜋᜇᜓᜎᜐ᜔,D/R,2,2,"madulas, marulas"
ᜋᜇᜓᜋ᜔ᜑᜈ᜔,D/R,2,2,"madumhan, marumhan"
ᜋᜇᜓᜐᜒᜅ᜔,D/R,2,2,"madusing, marusing"
ᜋᜄ᜔ᜊᜇ᜔ᜌ,D/R,2,2,"magbadya, magbarya"
ᜋᜄ᜔ᜊᜓᜎ,O/U,2,2,"magbola, magbula"
ᜋᜄ᜔ᜇᜌ,D/R,2,2,"magdaya, magraya"
ᜋᜄ᜔ᜃᜓᜎ,O/U,2,2,"magkola, magkula"
ᜋᜄ᜔ᜃᜓᜎᜓᜇ᜔,O/U,2,2,"magkolor, magkulor"
ᜋᜄ᜔ᜃᜓᜇᜓᜐ᜔,O/U,2,2,"magkuros, magkurus"
ᜋᜄ᜔ᜉᜇᜒ,E/I,2,2,"magpare, magpari"
ᜋᜄ᜔ᜉᜒᜃᜒᜆ᜔,E/I,2,2,"magpiket, magpikit"
ᜋᜄ᜔ᜉᜒᜇ᜔ᜋᜒ,E/I,2,2,"magpirme, magpirmi"
ᜋᜄ᜔ᜉᜓᜎ᜔ᜊᜓ,O/U,2,2,"magpolbo, magpulbo"
ᜋᜃᜇᜁᜄ᜔,D/R,2,2,"makadaig, makaraig"
ᜋᜋ᜔ᜊᜓᜎ,O/U,2,2,"mambola, mambula"
ᜋᜋᜒᜎᜓᜃᜓ,E/I,2,2,"mameluko, mamiluko"
ᜋᜂᜊ᜔ᜎᜒᜄ,O/U,2,2,"maobliga, maubliga"
ᜋᜉᜇᜓᜂᜎ᜔,O/U,2,2,"maparool, maparuol"
ᜋᜇ᜔ᜑᜒᜈ᜔,E/I,2,2,"marhen, marhin"
ᜋᜆᜓᜃ,O/U,2,2,"matoka, matuka"
ᜋᜂᜋᜒᜇᜓ,E/I,2,2,"maumedo, maumido"
ᜋᜌᜓᜇ᜔ᜌ,O/U,2,2,"mayorya, mayurya"
ᜋᜒᜈ᜔ᜆ,E/I,2,2,"menta, minta"
ᜋᜒᜈᜓᜇᜓ,E/I,2,2,"menudo, minudo"
ᜋᜒᜐᜒᜆ,E/I,2,2,"mesita, miseta"
ᜋᜒᜐ᜔ᜆᜒᜐ,E/I,2,2,"mestisa, mistisa"
ᜋᜒᜃᜒ,E/I,2,2,"mike, miki"
ᜋᜓᜇᜎ᜔,O/U,2,2,"moral, mural"
ᜋᜓᜆᜓᜈ᜔,O/U,2,2,"moton, muton"
ᜈᜃᜇᜉ,D/R,2,2,"nakadapa, nakarapa"
ᜈᜒᜈᜒ,E/I,2,2,"nene, nini"
ᜂᜑᜎᜒᜐ᜔,O/U,2,2,"ohales, uhales"
ᜂᜑᜒᜆᜒᜐ᜔,O/U,2,2,"ohetes, uhetes"
ᜂᜑᜒᜌ,O/U,2,2,"ohiya, uhiya"
ᜂᜑᜓ,O/U,2,2,"oho, uho"
ᜂᜁᜇᜓ,O/U,2,2,"oido, uido"
ᜂᜃ᜔ᜆᜓᜉᜓᜐ᜔,O/U,2,2,"oktopus, oktupos"
ᜂᜃᜓᜉᜑᜈ᜔,O/U,2,2,"okupahan, ukupahan"
ᜂᜎᜈ᜔ᜇᜒᜐ᜔,O/U,2,2,"olandes, ulandes"
ᜂᜎᜈ᜔ᜇᜒᜐ,O/U,2,2,"olandesa, ulandesa"
ᜂᜋᜒᜎᜒᜆ᜔,COMBINED,2,2,"omelet, umilit"
ᜂᜈ᜔ᜇ᜔ᜇᜐ᜔,O/U,2,2,"ondras, undras"
ᜂᜉᜒᜐ᜔ᜌᜓ,O/U,2,2,"opisyo, upisyo"
ᜂᜇᜒᜈᜓᜎ,O/U,2,2,"orinola, urinola"
ᜂᜇᜓᜉᜒᜎ᜔,O/U,2,2,"oropel, urupel"
ᜂᜐ᜔ᜌᜓᜐᜓ,O/U,2,2,"osyoso, usyoso"
ᜉᜇᜋᜒᜆ᜔,D/R,2,2,"padamit, paramit"
ᜉᜇᜐᜎ᜔,D/R,2,2,"padasal, parasal"
ᜉᜇᜒᜅ᜔,COMBINED,2,2,"pading, pareng"
ᜉᜇᜒᜉ,D/R,2,2,"padipa, paripa"
ᜉᜇ᜔ᜇᜓᜈᜈ᜔,O/U,2,2,"padronan, padrunan"
ᜉᜇ᜔ᜇᜓᜈᜒᜈ᜔,O/U,2,2,"padronin, padrunin"
ᜉᜄ᜔ᜇᜇᜄ᜔ᜇᜄ᜔,D/R,2,2,"pagdadagdag, pagdaragdag"
ᜉᜄ᜔ᜆᜓᜇᜓ,COMBINED,2,2,"pagtodo, pagturo"
ᜉᜄ᜔ᜆᜓᜃ,O/U,2,2,"pagtoka, pagtuka"
ᜉᜈᜇ,D/R,2,2,"panada, panara"
ᜉᜈ᜔ᜇᜌ,D/R,2,2,"pandaya, panraya"
ᜉᜈ᜔ᜇᜒᜐᜎ᜔,E/I,2,2,"pandesal, pandisal"
ᜉᜅ᜔ᜑᜒ,E/I,2,2,"panghe, panghi"
ᜉᜈ᜔ᜆᜒ,E/I,2,2,"pante, panti"
ᜉᜂᜐ᜔,O/U,2,2,"paos, paus"
ᜉᜇᜊᜓᜎ,O/U,2,2,"parabola, parabula"
ᜉᜐᜒᜄᜓᜇᜓ,E/I,2,2,"paseguro, pasiguro"
ᜉᜆ᜔ᜇᜓᜎ᜔ᜌ,O/U,2,2,"patrolya, patrulya"
ᜉᜆ᜔ᜐᜒᜑᜈ᜔,E/I,2,2,"patsehan, patsihan"
ᜉᜒᜇᜒᜇᜓ,E/I,2,2,"pedido, pidido"
ᜉᜒᜎᜓᜐ᜔,E/I,2,2,"pelus, pilus"
ᜉᜒᜈᜓᜋᜒᜈᜓ,E/I,2,2,"penomeno, penomino"
ᜉᜒᜆᜎ᜔,E/I,2,2,"petal, pital"
ᜉᜒᜇ᜔ᜋᜒ,E/I,2,2,"pirme, pirmi"
ᜉᜒᜐ᜔ᜆᜓᜎ,O/U,2,2,"pistola, pistula"
ᜉ᜔ᜎᜓᜋᜒᜇᜓ,O/U,2,2,"plomero, plumero"
ᜉᜓᜎᜌ᜔ᜈᜐ᜔,O/U,2,2,"polaynas, pulaynas"
ᜉᜓᜎ᜔ᜊᜒᜇ,O/U,2,2,"polbera, pulbera"
ᜉᜓᜎ᜔ᜊᜓᜑᜈ᜔,O/U,2,2,"polbohan, pulbuhan"
ᜉᜓᜎᜒᜈ᜔,COMBINED,2,2,"polen, pulin"
ᜉᜓᜎᜒᜎ᜔ᜌ,O/U,2,2,"polilya, pulilya"
ᜉᜓᜎᜓᜐᜒᜇ᜔ᜆ᜔,E/I,2,2,"polosert, polosirt"
ᜉᜓᜋᜒᜈ᜔ᜆᜓ,O/U,2,2,"pomento, pumento"
ᜉᜓᜇ᜔ᜋᜐ᜔,O/U,2,2,"pormas, purmas"
ᜉᜓᜇ᜔ᜆᜓᜈ,O/U,2,2,"portuna, purtuna"
ᜉᜓᜐ᜔ᜉᜐ᜔,O/U,2,2,"pospas, puspas"
ᜉ᜔ᜇᜓᜊᜇᜓ,O/U,2,2,"probado, prubado"
ᜉ᜔ᜇᜓᜊᜑᜈ᜔,O/U,2,2,"probahan, prubahan"
ᜉᜓᜋᜒᜇ᜔ᜋᜒ,E/I,2,2,"pumirme, pumirmi"
ᜉᜓᜐᜓᜇᜈ᜔,D/R,2,2,"pusudan, pusuran"
ᜇᜒᜊᜓᜐᜇᜓ,COMBINED,2,2,"rebosado, ribusado"
ᜇᜒᜊ᜔ᜌᜓᜑᜒᜈ᜔,E/I,2,2,"rebyuhin, ribyuhin"
ᜇᜒᜄᜇᜒᜇ,E/I,2,2,"regadera, rigadera"
ᜇᜒᜃᜓᜇᜒᜇ,COMBINED,2,2,"rekorida, rikurida"
ᜇᜒᜎ᜔ᜌᜒᜊᜓ,E/I,2,2,"relyebo, rilyebo"
ᜇᜒᜎ᜔ᜌᜒᜈᜓ,E/I,2,2,"relyeno, rilyeno"
ᜇᜒᜋᜆ᜔ᜐᜒ,E/I,2,2,"rematse, rimatse"
ᜇᜒᜈ᜔ᜇᜒ,E/I,2,2,"rendi, rindi"
ᜇᜒᜈ᜔ᜇᜒᜇᜓ,E/I,2,2,"rendido, rindido"
ᜇᜒᜉᜒᜇᜒᜈ᜔ᜇᜓᜋ᜔,O/U,2,2,"reperendom, reperendum"
ᜇᜒᜉᜒᜃᜒ,E/I,2,2,"repike, ripike"
ᜇᜒᜐᜒᜊᜒ,E/I,2,2,"resibe, resibi"
ᜇᜒᜐᜒᜉᜒ,E/I,2,2,"resipe, resipi"
ᜇᜒᜄᜓᜇᜓᜈ᜔,O/U,2,2,"rigodon, rigudon"
ᜇᜒᜐᜒᜐ᜔,E/I,2,2,"rises, risis"
ᜇᜓᜎ᜔ᜌᜓᜑᜈ᜔,O/U,2,2,"rolyohan, rolyuhan"
ᜇᜓᜎ᜔ᜌᜓᜑᜒᜈ᜔,O/U,2,2,"rolyohin, rolyuhin"
ᜇᜓᜉᜒᜇᜓ,O/U,2,2,"ropero, rupero"
ᜇᜓᜆᜒᜈ,O/U,2,2,"rotina, rutina"
ᜇᜓᜉᜒᜃᜒ,E/I,2,2,"rupeke, rupike"
ᜐᜁᜇᜒᜈ᜔,D/R,2,2,"saidin, sairin"
ᜐᜅ᜔ᜃᜒ,E/I,2,2,"sangke, sangki"
ᜐᜒᜊᜓ,E/I,2,2,"sebo, sibo"
ᜐᜒᜄᜒᜇ,E/I,2,2,"segida, sigida"
ᜐᜒᜄᜓᜈ᜔,E/I,2,2,"segun, sigun"
ᜐᜒᜄᜓᜇᜓᜑᜒᜈ᜔,E/I,2,2,"seguruhin, siguruhin"
ᜐᜒᜃᜈ᜔ᜆᜒ,E/I,2,2,"sekante, sikante"
ᜐᜒᜃᜒ,E/I,2,2,"seke, siki"
ᜐᜒᜋᜈ,E/I,2,2,"semana, simana"
ᜐᜒᜋᜒᜈ᜔ᜆ᜔,E/I,2,2,"sement, siment"
ᜐᜒᜈᜒᜐ,E/I,2,2,"senisa, sinisa"
ᜐᜒᜈᜒᜐᜇᜓ,E/I,2,2,"senisado, sinisado"
ᜐᜒᜈ᜔ᜐᜒᜎ᜔ᜌᜓ,E/I,2,2,"sensilyo, sinsilyo"
ᜐᜒᜈ᜔ᜌᜎ᜔,E/I,2,2,"senyal, sinyal"
ᜐᜒᜈ᜔ᜌᜓᜇ,E/I,2,2,"senyora, sinyora"
ᜐᜒᜉᜓ,E/I,2,2,"sepo, sipo"
ᜐᜒᜇ᜔ᜌᜎ᜔,E/I,2,2,"seryal, siryal"
ᜐᜒᜋ᜔ᜊᜓᜇ᜔ᜌᜓ,O/U,2,2,"simboryo, simburyo"
ᜐᜓᜎᜇ᜔,O/U,2,2,"solar, sular"
ᜐᜓᜎᜒᜑᜒᜌ,O/U,2,2,"solihiya, sulihiya"
ᜐᜓᜎ᜔ᜆᜒᜇ,O/U,2,2,"soltera, sultera"
ᜐᜓᜎ᜔ᜆᜒᜇᜓ,O/U,2,2,"soltero, sultero"
ᜐᜓᜅ᜔ᜄᜓ,O/U,2,2,"songgo, sunggo"
ᜐᜓᜂ,O/U,2,2,"soo, suo"
ᜐᜓᜉ,O/U,2,2,"sopa, supa"
ᜐᜓᜇ᜔ᜊᜒᜆᜒᜐ᜔,O/U,2,2,"sorbetes, surbetes"
ᜐᜓᜌ,O/U,2,2,"soya, suya"
ᜐᜓᜋᜓᜐᜓᜈᜓᜇ᜔,O/U,2,2,"sumusonod, sumusunod"
ᜐᜓᜉᜒᜇ᜔ᜊᜒᜐᜓᜇ᜔,D/R,2,2,"superbisod, superbisor"
ᜆᜊᜒᜃᜒ,E/I,2,2,"tabike, tabiki"
ᜆᜊᜓ,O/U,2,2,"tabo, tabu"
ᜆᜑᜓᜇᜒ,E/I,2,2,"tahure, tahuri"
ᜆᜋ᜔ᜊᜓᜇᜒᜈ᜔,O/U,2,2,"tamborin, tamburin"
ᜆᜂᜉᜓ,O/U,2,2,"taopo, taupo"
ᜆᜉᜒ,E/I,2,2,"tape, tapi"
ᜆᜏ᜔ᜄᜒ,E/I,2,2,"tawge, tawgi"
ᜆᜒᜋᜅ᜔,E/I,2,2,"temang, timang"
ᜆᜒᜈᜒᜐ᜔,E/I,2,2,"tenis, tinis"
ᜆᜒᜇᜒᜐ᜔,E/I,2,2,"teres, tiris"
ᜆᜒᜐ᜔ᜆᜒᜐ᜔,E/I,2,2,"testis, tistis"
ᜆᜒᜎ᜔ᜊᜓᜇᜒ,E/I,2,2,"tilbure, tilburi"
ᜆᜒᜐᜓᜇᜒᜈ᜔,D/R,2,2,"tisudin, tisurin"
ᜆᜓᜄᜒ,COMBINED,2,2,"toge, tugi"
ᜆᜓᜃᜌ,O/U,2,2,"tokaya, tukaya"
ᜆᜓᜃᜌᜓ,O/U,2,2,"tokayo, tukayo"
ᜆᜓᜇ᜔ᜈᜒᜎ᜔ᜌᜓ,O/U,2,2,"tornilyo, turnilyo"
ᜆᜓᜇ᜔ᜈᜓ,O/U,2,2,"torno, turno"
ᜆᜓᜇ᜔ᜉᜒᜇᜓ,E/I,2,2,"torpedo, torpido"
ᜆᜓᜐ᜔ᜆᜇᜓ,O/U,2,2,"tostado, tustado"
ᜆᜓᜌᜁᜈ᜔,O/U,2,2,"toyain, tuyain"
ᜆ᜔ᜇᜇᜒᜐ᜔ᜌᜓᜈᜎ᜔,O/U,2,2,"tradisyonal, tradisyunal"
ᜆ᜔ᜇᜓᜋ᜔ᜉᜓ,O/U,2,2,"trompo, trumpo"
ᜆ᜔ᜐᜒᜋᜒᜈᜒᜀ,E/I,2,2,"tsimenea, tsiminea"
ᜆ᜔ᜐᜓᜇᜒᜐᜓ,O/U,2,2,"tsoriso, tsuriso"
ᜆᜓᜉᜒ,E/I,2,2,"tupe, tupi"
ᜆᜓᜇ᜔ᜈᜓᜑᜈ᜔,O/U,2,2,"turnohan, turnuhan"
ᜂᜋᜐᜒᜐ᜔ᜆᜒ,E/I,2,2,"umasiste, umasisti"
ᜂᜋᜒᜇᜓ,E/I,2,2,"umedo, umido"
ᜂᜋᜒᜐ᜔ᜃᜎ,E/I,2,2,"umeskala, umiskala"
ᜂᜂᜋ᜔,O/U,2,2,"uom, uum"
ᜏᜇ᜔ᜇᜒᜈ᜔,D/R,2,2,"warden, warren"
